name, geometry, date (mm/dd/yr), short wavelength displacement, source file
Series 10, POINT(-118.80732102477252 34.01706934711741), 07/28/2019, 0.0022445917, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20190728T015008Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 08/03/2019, 0.003397584, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20190803T014926Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 08/09/2019, 0.0016809702, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20190809T015009Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 08/15/2019, 0.003696084, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20190815T014927Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 08/27/2019, 0.0027834177, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20190827T014928Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 09/02/2019, -0.0041517019, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20190902T015010Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 09/08/2019, -0.0077022314, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20190908T014929Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 09/26/2019, -0.0028957129, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20190926T015011Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 10/02/2019, -0.0011529922, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20191002T014929Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 10/08/2019, -0.0005153418, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20191008T015011Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 10/14/2019, -0.0001101494, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20191014T014929Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 10/20/2019, 0.0007003546, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20191020T015011Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 10/26/2019, -0.0014232397, OPERA_L3_DISP-S1_IW_F16940_VV_20190710T014925Z_20191026T014929Z_v1.0_20250410T171832Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 11/01/2019, -0.000019908, OPERA_L3_DISP-S1_IW_F16940_VV_20191026T014929Z_20191101T015011Z_v1.0_20250411T020030Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 11/07/2019, -0.0038074255, OPERA_L3_DISP-S1_IW_F16940_VV_20191026T014929Z_20191107T014929Z_v1.0_20250411T020030Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 11/13/2019, -0.0001903772, OPERA_L3_DISP-S1_IW_F16940_VV_20191026T014929Z_20191113T015011Z_v1.0_20250411T020030Z.nc
